J,Local,Fuera
1,Alavés,Levante
1,Athletic Bilbao,Sevilla
1,Celta de Vigo,Getafe
1,Girona,Rayo Vallecano
1,Espanyol,Atlético de Madrid
1,Mallorca,Barcelona
1,Elche,Betis
1,Real Madrid,Osasuna
1,Valencia,Real Sociedad
1,Villarreal,Oviedo
2,Athletic Bilbao,Rayo Vallecano
2,Atlético de Madrid,Elche
2,Osasuna,Valencia
2,Oviedo,Real Madrid
2,Betis,Alavés
2,Levante,Barcelona
2,Mallorca,Celta de Vigo
2,Real Sociedad,Espanyol
2,Sevilla,Getafe
2,Villarreal,Girona
3,Alavés,Atlético de Madrid
3,Celta de Vigo,Villarreal
3,Elche,Levante
3,Espanyol,Osasuna
3,Girona,Sevilla
3,Oviedo,Real Sociedad
3,Betis,Athletic Bilbao
3,Rayo Vallecano,Barcelona
3,Valencia,Getafe
3,Real Madrid,Mallorca
4,Atlético de Madrid,Villarreal
4,Barcelona,Valencia
4,Celta de Vigo,Girona
4,Espanyol,Mallorca
4,Getafe,Oviedo
4,Osasuna,Rayo Vallecano
4,Athletic Bilbao,Alavés
4,Levante,Betis
4,Sevilla,Elche
4,Real Sociedad,Real Madrid
5,Alavés,Sevilla
5,Barcelona,Getafe
5,Betis,Real Sociedad
5,Elche,Oviedo
5,Girona,Levante
5,Valencia,Athletic Bilbao
5,Mallorca,Atlético de Madrid
5,Rayo Vallecano,Celta de Vigo
5,Real Madrid,Espanyol
5,Villarreal,Osasuna
6,Athletic Bilbao,Girona
6,Atlético de Madrid,Rayo Vallecano
6,Espanyol,Valencia
6,Levante,Real Madrid
6,Sevilla,Villarreal
6,Getafe,Alavés
6,Oviedo,Barcelona
6,Celta de Vigo,Betis
6,Osasuna,Elche
6,Real Sociedad,Mallorca
7,Atlético de Madrid,Real Madrid
7,Barcelona,Real Sociedad
7,Betis,Osasuna
7,Getafe,Levante
7,Rayo Vallecano,Sevilla
7,Mallorca,Alavés
7,Villarreal,Athletic Bilbao
7,Elche,Celta de Vigo
7,Girona,Espanyol
7,Valencia,Oviedo
8,Alavés,Elche
8,Athletic Bilbao,Mallorca
8,Girona,Valencia
8,Real Madrid,Villarreal
8,Celta de Vigo,Atlético de Madrid
8,Sevilla,Barcelona
8,Espanyol,Betis
8,Osasuna,Getafe
8,Oviedo,Levante
8,Real Sociedad,Rayo Vallecano
9,Alavés,Valencia
9,Atlético de Madrid,Osasuna
9,Barcelona,Girona
9,Celta de Vigo,Real Sociedad
9,Getafe,Real Madrid
9,Levante,Rayo Vallecano
9,Elche,Athletic Bilbao
9,Villarreal,Betis
9,Oviedo,Espanyol
9,Sevilla,Mallorca
10,Athletic Bilbao,Getafe
10,Girona,Oviedo
10,Real Sociedad,Sevilla
10,Valencia,Villarreal
10,Rayo Vallecano,Alavés
10,Betis,Atlético de Madrid
10,Real Madrid,Barcelona
10,Osasuna,Celta de Vigo
10,Espanyol,Elche
10,Mallorca,Levante
11,Alavés,Espanyol
11,Atlético de Madrid,Sevilla
11,Barcelona,Elche
11,Betis,Mallorca
11,Getafe,Girona
11,Real Madrid,Valencia
11,Real Sociedad,Athletic Bilbao
11,Levante,Celta de Vigo
11,Oviedo,Osasuna
11,Villarreal,Rayo Vallecano
12,Athletic Bilbao,Oviedo
12,Atlético de Madrid,Levante
12,Elche,Real Sociedad
12,Espanyol,Villarreal
12,Rayo Vallecano,Real Madrid
12,Girona,Alavés
12,Celta de Vigo,Barcelona
12,Valencia,Betis
12,Mallorca,Getafe
12,Sevilla,Osasuna
13,Alavés,Celta de Vigo
13,Betis,Girona
13,Elche,Real Madrid
13,Espanyol,Sevilla
13,Osasuna,Real Sociedad
13,Oviedo,Rayo Vallecano
13,Barcelona,Athletic Bilbao
13,Getafe,Atlético de Madrid
13,Valencia,Levante
13,Villarreal,Mallorca
14,Atlético de Madrid,Oviedo
14,Celta de Vigo,Espanyol
14,Girona,Real Madrid
14,Mallorca,Osasuna
14,Rayo Vallecano,Valencia
14,Real Sociedad,Villarreal
14,Barcelona,Alavés
14,Levante,Athletic Bilbao
14,Sevilla,Betis
14,Getafe,Elche
15,Alavés,Real Sociedad
15,Athletic Bilbao,Atlético de Madrid
15,Elche,Girona
15,Espanyol,Rayo Vallecano
15,Betis,Barcelona
15,Real Madrid,Celta de Vigo
15,Villarreal,Getafe
15,Osasuna,Levante
15,Oviedo,Mallorca
15,Valencia,Sevilla
16,Alavés,Real Madrid
16,Atlético de Madrid,Valencia
16,Barcelona,Osasuna
16,Levante,Villarreal
16,Celta de Vigo,Athletic Bilbao
16,Rayo Vallecano,Betis
16,Mallorca,Elche
16,Getafe,Espanyol
16,Real Sociedad,Girona
16,Sevilla,Oviedo
17,Athletic Bilbao,Espanyol
17,Betis,Getafe
17,Elche,Rayo Vallecano
17,Levante,Real Sociedad
17,Real Madrid,Sevilla
17,Osasuna,Alavés
17,Girona,Atlético de Madrid
17,Villarreal,Barcelona
17,Oviedo,Celta de Vigo
17,Valencia,Mallorca
18,Alavés,Oviedo
18,Celta de Vigo,Valencia
18,Elche,Villarreal
18,Osasuna,Athletic Bilbao
18,Real Sociedad,Atlético de Madrid
18,Espanyol,Barcelona
18,Real Madrid,Betis
18,Rayo Vallecano,Getafe
18,Mallorca,Girona
18,Sevilla,Levante
19,Athletic Bilbao,Real Madrid
19,Getafe,Real Sociedad
19,Girona,Osasuna
19,Villarreal,Alavés
19,Barcelona,Atlético de Madrid
